,pay,rides,earnings
0,15.0,22.10399999999996,321.179999999999
1,16.0,29.41400000000001,411.6000000000001
2,17.0,41.61300000000002,536.4970000000003
3,18.0,60.93399999999998,733.0439999999993
4,19.0,93.15299999999982,1032.7129999999977
5,20.0,142.67899999999977,1434.4199999999973
6,21.0,213.71999999999952,1925.5049999999967
7,22.0,307.83599999999956,2461.8079999999964
8,22.5,366.802,2743.2750000000005
9,23.0,438.52700000000004,3094.175
10,23.5,537.8069999999997,3489.1674999999987
11,24.0,665.2609999999997,3986.9879999999985
12,24.5,837.8309999999996,4604.616499999997
13,25.0,1052.8879999999997,5262.210000000001
14,25.2,1152.2289999999998,5531.399999999999
15,25.4,1255.8039999999992,5761.325199999999
16,25.599999999999998,1358.2389999999996,5982.262000000001
17,25.799999999999997,1467.7719999999993,6159.161400000002
18,25.999999999999996,1575.9179999999997,6296.564000000004
19,26.199999999999996,1677.8799999999999,6391.470800000008
20,26.399999999999995,1790.9210000000003,6420.157200000009
21,26.599999999999994,1893.9320000000007,6438.88600000001
22,26.799999999999994,1993.6190000000001,6387.264000000014
23,26.999999999999993,2096.392,6278.0040000000145
24,27.199999999999992,2194.602,6124.605200000018
25,27.39999999999999,2292.396,5972.278000000018
26,27.59999999999999,2387.8769999999995,5748.818400000021
27,27.79999999999999,2497.535,5464.230200000024
28,28.0,2588.879,5182.415999999999
29,28.5,2850.328,4268.685
30,29.0,3111.7960000000003,3112.943
31,29.5,3389.936,1695.3850000000002
32,30.0,3658.3460000000005,0.0
33,30.5,3904.4230000000002,-1954.9655000000002
