,pay,rides,earnings
0,15.0,21.228,315.70500000000004
1,15.5,24.450000000000006,353.858
2,16.0,28.332000000000004,398.58000000000004
3,16.5,33.522000000000006,451.33200000000005
4,17.0,39.516000000000005,518.3100000000002
5,17.5,47.822,604.7375
6,18.0,57.65400000000001,687.4680000000001
7,18.5,69.85900000000001,806.8285000000002
8,19.0,85.54000000000002,937.7060000000001
9,19.5,103.41100000000002,1091.4225000000001
10,20.0,124.21600000000001,1249.4900000000002
11,20.2,134.157,1313.6704000000002
12,20.4,144.06,1386.9312000000002
13,20.599999999999998,153.91199999999998,1447.7974000000004
14,20.799999999999997,165.14899999999997,1519.7296000000003
15,20.999999999999996,175.852,1580.5080000000005
16,21.199999999999996,186.554,1639.272800000001
17,21.399999999999995,198.57800000000003,1705.5090000000012
18,21.599999999999994,209.94700000000003,1762.3704000000016
19,21.799999999999994,221.873,1828.2556000000018
20,21.999999999999993,233.887,1873.7120000000018
21,22.199999999999992,247.30000000000004,1924.384800000002
22,22.39999999999999,260.261,1967.2144000000026
23,22.59999999999999,273.57000000000005,2025.8980000000024
24,22.79999999999999,288.73400000000004,2079.4248000000025
25,22.99999999999999,304.067,2121.0630000000033
26,23.19999999999999,318.848,2170.220000000004
27,23.399999999999988,337.16999999999996,2231.9550000000045
28,23.599999999999987,356.657,2282.969600000005
29,23.799999999999986,375.68899999999996,2337.9704000000047
30,23.999999999999986,397.275,2388.6000000000054
31,24.199999999999985,420.207,2441.7942000000066
32,24.399999999999984,443.596,2493.461600000007
33,24.599999999999984,468.09100000000007,2535.008400000008
34,24.799999999999983,494.073,2570.588800000008
35,25.0,519.628,2589.6549999999997
36,26.0,634.193,2537.984
37,27.0,718.7070000000001,2156.679
38,28.0,782.521,1569.374
39,29.0,840.6910000000001,840.8900000000001
40,30.0,889.1050000000001,0.0
